season,session,round,position,number,driver,team,col_5,col_6,col_7,col_8
2017,race,"ROUND 2

12
-
14
May

Barcelona
Results","10
19
J. Cecotto
Rapax",26,42:51.194,30.744,9.192,169.281,1:35.574,8
2017,race,"ROUND 2

12
-
14
May

Barcelona
Results","11
17
S. Canamasas
Trident",26,42:51.999,31.549,0.805,169.228,1:36.315,9
2017,race,"ROUND 2

12
-
14
May

Barcelona
Results","12
12
R. Merhi
Campos Racing",26,42:54.884,34.434,2.885,169.038,1:35.765,11
2017,race,"ROUND 2

12
-
14
May

Barcelona
Results","13
20
N. Nato
Pertamina Arden",26,42:55.721,35.271,0.837,168.983,1:35.855,4
2017,race,"ROUND 2

12
-
14
May

Barcelona
Results","14
3
L. Delétraz
Racing Engineering",26,42:58.540,38.090,2.819,168.798,1:36.532,6
2017,race,"ROUND 2

12
-
14
May

Barcelona
Results","15
14
S. Sette Câmara
MP Motorsport",26,42:59.896,39.446,1.356,168.710,1:36.330,5
2017,race,"ROUND 2

12
-
14
May

Barcelona
Results","16
21
S. Gelael
Pertamina Arden",26,43:07.400,46.950,7.504,168.220,1:36.084,7
2017,race,"ROUND 2

12
-
14
May

Barcelona
Results","17
11
R. Boschung
Campos Racing",26,43:10.676,50.226,3.276,168.008,1:34.670,5
2017,race,"ROUND 2

12
-
14
May

Barcelona
Results","18
16
N. Jeffri
Trident",26,43:20.362,59.912,9.686,167.382,1:36.672,4
2017,race,"ROUND 2

12
-
14
May

Barcelona
Results","DNF
18
N. de Vries
Rapax",-,-,DNF,-,-,-,-
2017,race,"ROUND 2

12
-
14
May

Barcelona
Results","DNF
2
A. Fuoco
PREMA Racing",-,-,DNF,-,-,-,-
2017,race,"ROUND 2

12
-
14
May

Barcelona
Results",11C. LeclercLECPREMA Racing,37,1:02:33.684,-,-,165.062,1:35.729,3
2017,race,"ROUND 2

12
-
14
May

Barcelona
Results",25L. GhiottoGHIRUSSIAN TIME,37,1:02:37.414,3.730,-,164.898,1:35.583,34
2017,race,"ROUND 2

12
-
14
May

Barcelona
Results",39O. RowlandROWDAMS,37,1:02:44.830,11.146,7.416,164.573,1:34.340,31
